id,居住地,性別,年齡,年齡組,教育程度,職業,婚姻狀況,媒體習慣
1,彰化縣,男,70,65歲以上,大學,其他/待業,未婚,LINE、Facebook、YouTube、Instagram
2,新竹市,女,68,65歲以上,大學,退休,已婚,LINE、Facebook
3,桃園市,女,69,65歲以上,大學,退休,已婚,LINE、Facebook
4,臺南市,女,36,35–44歲,碩士以上,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、LinkedIn
5,臺中市,男,49,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram
6,臺中市,男,35,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads
7,臺南市,男,51,45–54歲,國小以下,技術工/勞工,已婚,LINE、Facebook、Instagram、WhatsApp
8,高雄市,男,55,55–64歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram
9,嘉義市,女,64,55–64歲,國中,退休,已婚,LINE、Facebook、YouTube、Instagram
10,桃園市,女,84,65歲以上,專科,退休,已婚,LINE、Facebook、Instagram
11,桃園市,男,56,55–64歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram
12,臺北市,女,59,55–64歲,高中(職),技術/助理專業,已婚,LINE、Facebook、Instagram
13,臺東縣,男,37,35–44歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
14,桃園市,女,20,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
15,臺北市,男,45,45–54歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube
16,臺北市,女,72,65歲以上,碩士以上,退休,已婚,LINE、Facebook、Instagram
17,臺南市,女,48,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
18,新北市,女,47,45–54歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、WeChat
19,桃園市,男,45,45–54歲,國中,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、Threads、WhatsApp
20,高雄市,男,16,15–24歲,碩士以上,學生,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、WhatsApp
21,新北市,女,30,25–34歲,高中(職),其他/待業,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat、Threads
22,桃園市,女,61,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok
23,新北市,男,45,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
24,南投縣,男,26,25–34歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp
25,彰化縣,男,55,55–64歲,專科,管理/主管,已婚,LINE、Facebook、YouTube
26,新北市,男,73,65歲以上,碩士以上,退休,已婚,LINE、Facebook、YouTube、Instagram
27,臺中市,女,71,65歲以上,國中,退休,未婚,LINE、Facebook、Instagram、Telegram
28,新北市,男,62,55–64歲,高中(職),其他/待業,已婚,LINE、Facebook、Threads
29,新竹縣,女,40,35–44歲,碩士以上,服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、WhatsApp、Pinterest
30,彰化縣,女,60,55–64歲,國中,事務人員,已婚,LINE、Facebook、YouTube、TikTok
31,臺北市,女,33,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、Snapchat
32,臺中市,女,40,35–44歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok
33,桃園市,女,67,65歲以上,專科,退休,未婚,LINE、Facebook
34,臺北市,男,48,45–54歲,大學,管理/主管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、Telegram
35,彰化縣,女,36,35–44歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat、Threads、WhatsApp、Pinterest
36,臺南市,女,66,65歲以上,碩士以上,家管,已婚,LINE、Facebook、Instagram
37,桃園市,男,18,15–24歲,碩士以上,學生,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat、X(Twitter)、Pinterest、LinkedIn
38,新北市,女,71,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、小紅書
39,臺南市,女,85,65歲以上,高中(職),技術工/勞工,未婚,LINE、Facebook、Instagram
40,桃園市,女,62,55–64歲,高中(職),退休,已婚,LINE、Facebook、TikTok、Threads
41,臺南市,男,52,45–54歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、WeChat
42,新北市,男,84,65歲以上,高中(職),退休,已婚,LINE、Facebook
43,臺南市,男,37,35–44歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok、WeChat、X(Twitter)
