region_name,管理/主管,專業人員,技術/助理專業,事務人員,服務/銷售,農林漁牧,技術工/勞工
新北市,79.0,291.0,464.0,288.0,419.0,7.0,528.0
臺北市,100.0,277.0,282.0,167.0,184.0,1.0,128.0
桃園市,29.0,161.0,204.0,181.0,224.0,13.0,390.0
臺中市,32.0,202.0,299.0,194.0,295.0,26.0,415.0
臺南市,16.0,115.0,136.0,94.0,197.0,57.0,349.0
高雄市,25.0,165.0,244.0,171.0,293.0,31.0,423.0
宜蘭縣,4.0,28.0,36.0,21.0,56.0,8.0,73.0
新竹縣,12.0,60.0,47.0,28.0,48.0,6.0,92.0
苗栗縣,6.0,31.0,43.0,22.0,51.0,18.0,97.0
彰化縣,9.0,60.0,102.0,43.0,109.0,47.0,235.0
南投縣,5.0,23.0,26.0,18.0,55.0,35.0,76.0
雲林縣,6.0,31.0,29.0,23.0,73.0,55.0,114.0
嘉義縣,3.0,13.0,24.0,16.0,49.0,47.0,94.0
屏東縣,4.0,32.0,52.0,23.0,97.0,49.0,143.0
臺東縣,2.0,8.0,9.0,10.0,25.0,15.0,35.0
花蓮縣,3.0,14.0,14.0,18.0,42.0,9.0,52.0
澎湖縣,1.0,5.0,5.0,6.0,12.0,3.0,14.0
基隆市,5.0,26.0,35.0,22.0,40.0,1.0,48.0
新竹市,12.0,59.0,32.0,25.0,43.0,0.0,49.0
嘉義市,3.0,21.0,24.0,13.0,32.0,1.0,30.0
金門縣,0.03053500774126957,0.13951488044039223,0.18114570789609497,0.11887149492516773,0.20161706519869257,0.03698606571477722,0.2913297780836057
連江縣,0.03053500774126957,0.13951488044039223,0.18114570789609497,0.11887149492516773,0.20161706519869257,0.03698606571477722,0.2913297780836057
