region_name,DPP,KMT,TPP,Other
新北市,0.3375,0.3316,0.1195,0.2114
臺北市,0.3036,0.3438,0.1294,0.2232
桃園市,0.3178,0.3495,0.1219,0.2108
臺中市,0.3216,0.3311,0.1305,0.2168
臺南市,0.4209,0.2572,0.0915,0.2304
高雄市,0.3876,0.3011,0.0851,0.2262
宜蘭縣,0.4038,0.2889,0.1095,0.1979
新竹縣,0.2336,0.399,0.1358,0.2316
苗栗縣,0.2515,0.4428,0.1095,0.1961
彰化縣,0.3362,0.3404,0.1214,0.202
南投縣,0.3095,0.3992,0.0995,0.1919
雲林縣,0.3804,0.305,0.1123,0.2024
嘉義縣,0.4021,0.2892,0.0937,0.215
屏東縣,0.4204,0.3166,0.0724,0.1906
臺東縣,0.2329,0.5355,0.0696,0.162
花蓮縣,0.2112,0.5467,0.0769,0.1651
澎湖縣,0.3431,0.3718,0.0907,0.1944
基隆市,0.2907,0.3736,0.1154,0.2202
新竹市,0.2833,0.3207,0.1531,0.2429
嘉義市,0.3571,0.3023,0.1158,0.2248
金門縣,0.0818,0.6569,0.0891,0.1722
連江縣,0.0698,0.6786,0.086,0.1656
